Male, 1
Female, 2
Agender, 3
Androgyne, 4
Androgynous, 5
Babyboy, 6
Babygirl, 7
Bigender, 8
Cis Female,9
Cis Male,10
Cis Man,11
Cis Woman,12
Cis Gender Female,13
Cis Gender Male,14
Cis Gender Man,15
Cis Gender Woman,16
Demiboym, 17
Demigender,18
Demigirl , 19
Enby, 20
FTM, 21
Genderfluid, 22
Genderqueer, 23
Gender Nonconforming, 24
Gender Questioning, 25
Gender Variant,26
Intersex, 27
MTF, 28
Multigender, 29
Neither, 30
Neutrois, 31
Non-binary, 32
Other, 33
Pangender, 34
Trans, 35
Trans Man, 36
Trans Person, 37
Trans Woman, 38
Transfeminine, 39
Transfem, 40
Trans Gender Man, 41
Trans Gender Person, 42
Trans Gender Woman, 43
Transsexual Man, 44
Transsexual Person, 45
Transsexual Woman, 46
Transmasculine, 47
Transmasc , 48
Two-Spirit,49